oldID,District,Expulsion_w_services,EWS_perc,Expulsion_no_services,ENS_perc,In_school,IS_perc,Out_of_school,OOS_perc,Transfer_to_alt,TTA_perc,total
190220100020000,Itasca SD 10,,0.0,,0.0,12,75.0,4,25.0,,0.0,16
190220120020000,Roselle SD 12,,0.0,,0.0,,0.0,4,100.0,,0.0,4
190220130020000,Bloomingdale SD 13,,0.0,,0.0,,0.0,7,100.0,,0.0,7
190220150020000,Marquardt SD 15,,0.0,,0.0,250,74.4,85,25.3,1,0.3,336
190220160020000,Queen Bee SD 16,,0.0,,0.0,21,75.0,7,25.0,,0.0,28
190220200020000,Keeneyville SD 20,,0.0,,0.0,127,70.9,48,26.8,4,2.2,179
190220250020000,Benjamin SD 25,,0.0,,0.0,15,88.2,2,11.8,,0.0,17
190220330020000,West Chicago ESD 33,,0.0,,0.0,,0.0,6,100.0,,0.0,6
190220340020000,Winfield SD 34,,0.0,,0.0,3,75.0,1,25.0,,0.0,4
190220410020000,Glen Ellyn SD 41,,0.0,,0.0,72,49.7,73,50.3,,0.0,145
190220440020000,Lombard SD 44,,0.0,,0.0,84,72.4,32,27.6,,0.0,116
190220450020000,SD 45 DuPage County,,0.0,,0.0,87,57.2,65,42.8,,0.0,152
190220480020000,Salt Creek SD 48,,0.0,,0.0,,0.0,2,100.0,,0.0,2
190220530020000,Butler SD 53,,0.0,,0.0,1,100.0,,0.0,,0.0,1
190220580020000,Downers Grove GSD 58,,0.0,,0.0,90,90.0,10,10.0,,0.0,100
190220600020000,Maercker SD 60,,0.0,1,1.9,35,64.8,18,33.3,,0.0,54
190220620020000,Gower SD 62,,0.0,,0.0,5,62.5,3,37.5,,0.0,8
190220630020000,Cass SD 63,,0.0,,0.0,1,7.7,10,76.9,2,15.4,13
190220660020000,Center Cass SD 66,,0.0,,0.0,11,91.7,1,8.3,,0.0,12
190220680020000,Woodridge SD 68,,0.0,,0.0,168,72.1,62,26.6,3,1.3,233
190220860170000,Hinsdale Twp HSD 86,,0.0,,0.0,,0.0,168,100.0,,0.0,168
190220870170000,Glenbard Twp HSD 87,,0.0,3,0.1,2324,88.9,288,11.0,,0.0,2615
