zipcode,minority,companies_name,name,bi_policy_premium,pd_policy_premium,state_risk,white_non_hisp_pct,risk_difference,combined_premium
63458,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,112.399177,95.2,283.600823,396.0
63459,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,140.3427896,93.3,255.6572104,396.0
63460,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,116.489648,95.9,279.510352,396.0
63461,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,135.0454365,96.0,260.9545635,396.0
63462,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,112.9227127,95.5,283.07728729999997,396.0
63463,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,95.57811619,99.1,300.42188381,396.0
63465,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,84.17758583,95.4,311.82241417,396.0
63468,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,116.7689624,98.4,279.2310376,396.0
63469,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,99.70768893,98.8,296.29231107,396.0
63471,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,128.8825032,95.5,267.1174968,396.0
63472,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,157.7724845,99.0,238.2275155,396.0
63473,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,84.35470701,100.0,311.64529299000003,396.0
63474,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,62.31482624,98.8,333.68517376,396.0
63501,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,162.2179288,90.8,233.7820712,396.0
63530,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,192.6560409,97.4,203.3439591,396.0
63531,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,198.491891,98.3,197.508109,396.0
63532,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,129.4639454,98.7,266.5360546,396.0
63533,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,203.9035616,96.5,192.0964384,396.0
63534,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,78.73307777,99.2,317.26692223,396.0
63535,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,26.51942446,97.5,369.48057554,396.0
63536,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,131.4992045,98.9,264.5007955,396.0
63537,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,104.8524634,96.5,291.14753659999997,396.0
63538,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,66.19006339,96.9,329.80993661,396.0
63539,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,187.8183873,96.8,208.1816127,396.0
63540,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,84.10254777,97.8,311.89745223,396.0
63541,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,163.6240224,100.0,232.3759776,396.0
63543,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,47.76254376,99.2,348.23745624000003,396.0
63544,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,267,120.0,113.3360323,94.7,273.6639677,387.0
63545,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,267,120.0,75.96319199,97.6,311.03680801,387.0
63546,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,92.18541083,97.9,303.81458917,396.0
63547,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,175.6425591,98.6,220.3574409,396.0
63548,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,142.2747909,97.0,253.7252091,396.0
63549,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,113.7056904,99.7,282.2943096,396.0
63551,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,267,120.0,61.2111429,98.0,325.7888571,387.0
63552,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,140.0413732,90.8,255.9586268,396.0
63555,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,124.7900991,98.0,271.2099009,396.0
63556,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,267,120.0,117.0355567,66.2,269.96444329999997,387.0
63557,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,53.49371209,99.6,342.50628790999997,396.0
63558,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,124.3415525,99.4,271.65844749999997,396.0
63559,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,176.0899988,99.1,219.9100012,396.0
63560,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,267,120.0,88.20071138,100.0,298.79928861999997,387.0
63561,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,163.7231886,97.3,232.2768114,396.0
63563,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,271,125.0,144.0944697,99.3,251.9055303,396.0
63565,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,267,120.0,90.77143651,97.5,296.22856349,387.0
63566,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,267,120.0,180.7229541,88.9,206.2770459,387.0
63567,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,267,120.0,57.38098318,94.7,329.61901682,387.0
63601,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,325,152.0,160.1769873,97.3,316.8230127,477.0
63620,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,159.6512982,89.8,271.34870179999996,431.0
63621,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,105.9421631,93.7,325.0578369,431.0
63622,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,177.705225,100.0,253.294775,431.0
63623,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,83.48215954,98.3,347.51784046,431.0
63624,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,325,152.0,161.865352,96.7,315.13464799999997,477.0
63625,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,151.3876224,88.0,279.6123776,431.0
63626,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,325,152.0,345.9444649,89.1,131.0555351,477.0
63627,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,325,152.0,188.7707155,96.7,288.2292845,477.0
63628,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,325,152.0,173.2150687,85.7,303.78493130000004,477.0
63629,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,121.2975118,96.5,309.7024882,431.0
63630,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,192.4764977,99.0,238.5235023,431.0
63631,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,133.9513109,98.7,297.0486891,431.0
63633,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,147.2586401,87.7,283.7413599,431.0
63636,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,297,134.0,152.5481716,98.4,278.4518284,431.0
63637,FALSE,21st Century Centennial Ins Co,FARMERS INS GRP,325,152.0,167.0496177,100.0,309.9503823,477.0
